region,year,appropriations,population,value
alabama,2010,4625625,"4,779,736",0.968
alaska,2010,684400,"710,231",0.964
arizona,2010,822500,"6,392,017",0.129
arkansas,2010,1657471,"2,915,918",0.568
california,2010,4123000,"37,253,956",0.111
colorado,2010,1200026,"5,029,196",0.239
connecticut,2010,6261985,"3,574,097",1.752
delaware,2010,1740000,"897,934",1.938
district of columbia,2010,5849000,"601,723",9.720
florida,2010,5217650,"18,801,310",0.278
georgia,2010,2319614,"9,687,653",0.239
hawaii,2010,6160022,"1,360,301",4.528
idaho,2010,787600,"1,567,582",0.502
illinois,2010,7576900,"12,830,632",0.591
indiana,2010,3202368,"6,483,802",0.494
iowa,2010,1023712,"3,046,355",0.336
kansas,2010,1137622,"2,853,118",0.399
kentucky,2010,3186400,"4,339,367",0.734
louisiana,2010,5579340,"4,533,372",0.968
maine,2010,694915,"1,328,361",0.523
maryland,2010,13312093,"5,773,552",2.306
massachusetts,2010,9692945,"6,547,629",1.480
michigan,2010,1417400,"9,883,640",0.143
minnesota,2010,30015000,"5,303,925",5.659
mississippi,2010,1726671,"2,967,297",0.582
missouri,2010,10426720,"5,988,927",1.741
montana,2010,465556,"989,415",0.471
nebraska,2010,1488548,"1,826,341",0.815
nevada,2010,1093715,"2,700,551",0.405
new hampshire,2010,515193,"1,316,470",0.391
new jersey,2010,17075000,"8,791,894",1.942
new mexico,2010,1958150,"2,059,179",0.951
new york,2010,52032000,"19,378,102",2.685
north carolina,2010,8678481,"9,535,483",0.910
north dakota,2010,684367,"672,591",1.018
ohio,2010,6594290,"11,536,504",0.572
oklahoma,2010,4763987,"3,751,351",1.270
oregon,2010,2087772,"3,831,074",0.545
pennsylvania,2010,11992000,"12,702,379",0.944
rhode island,2010,2351540,"1,052,567",2.234
south carolina,2010,2453985,"4,625,364",0.531
south dakota,2010,526481,"814,180",0.647
tennessee,2010,8382800,"6,346,105",1.321
texas,2010,7033147,"25,145,561",0.280
utah,2010,2911000,"2,763,885",1.053
vermont,2010,507607,"625,741",0.811
virginia,2010,4420804,"8,001,024",0.553
washington,2010,1844000,"6,724,540",0.274
west virginia,2010,1127183,"1,852,994",0.608
wisconsin,2010,2417700,"5,686,986",0.425
wyoming,2010,1143829,"563,626",2.029
